ID_REF	VALUE
TC01000078.hg.1	5.48245450617684
TC01000079.hg.1	3.42586379972825
TC01000080.hg.1	5.38162681167217
TC01000081.hg.1	3.80065421592933
TC01000082.hg.1	7.04481089395849
TC01000083.hg.1	8.83760835753041
TC01000084.hg.1	6.69261577321191
TC01000085.hg.1	6.91727358376554
TC01000086.hg.1	5.37943947784455
TC01000087.hg.1	5.77617235348899
TC01000088.hg.1	6.72290290257054
TC01000089.hg.1	5.06653214554979
TC01000090.hg.1	5.24796828100655
TC01000091.hg.1	5.96964044994588
TC01000092.hg.1	5.79728285815355
TC01000093.hg.1	6.03429424265753
TC01000094.hg.1	3.81090737438184
TC01000095.hg.1	2.12986116304794
TC01000096.hg.1	5.33598282376304
TC01000097.hg.1	4.48468014757417
TC01000098.hg.1	5.83365388555953
TC01000099.hg.1	7.44262236576295
TC01000100.hg.1	6.56252323117185
TC01000101.hg.1	7.03599885973628
TC01000102.hg.1	5.02947287672261
TC01000103.hg.1	5.16350709194835
TC01000104.hg.1	5.65968824351336
TC01000105.hg.1	4.55920692396218
TC01000106.hg.1	4.69190226840714
TC01000107.hg.1	2.96677750866042
TC01000108.hg.1	4.75528984011824
TC01000109.hg.1	7.53885088431582
TC01000110.hg.1	4.59304858101899
TC01000111.hg.1	4.20385664697727
TC01000112.hg.1	6.64314999692307
TC01000113.hg.1	8.78591217879464
TC01000114.hg.1	2.03888730485472
TC01000115.hg.1	7.11097208304464
TC01000116.hg.1	7.51596160140517
TC01000117.hg.1	5.89904269060087
TC01000118.hg.1	6.18759711484685
TC01000119.hg.1	5.90042557156863
TC01000120.hg.1	4.85376734176698
TC01000121.hg.1	4.9647159488165
TC01000122.hg.1	5.95037494308186
TC01000123.hg.1	7.22884256226184
TC01000124.hg.1	6.18767905239488
TC01000125.hg.1	6.99686601430395
TC01000126.hg.1	5.46670504489412
TC01000127.hg.1	7.25879517244285
TC01000128.hg.1	11.1204491144895
TC01000129.hg.1	7.0997027966238
TC01000130.hg.1	4.66256047871754
TC01000131.hg.1	5.98289390595298
TC01000132.hg.1	6.28096277515033
TC01000133.hg.1	5.82113174087667
TC01000134.hg.1	7.26962036015227
TC01000135.hg.1	4.28856605282908
TC01000136.hg.1	4.42156412778859
TC01000137.hg.1	3.26429128870548
