ID_REF	VALUE
TC01000057.hg.1	6.9591689261939
TC01000058.hg.1	7.56191233904193
TC01000059.hg.1	5.58590128684097
TC01000060.hg.1	6.23573970600392
TC01000061.hg.1	6.81191510872602
TC01000062.hg.1	6.10982614539688
TC01000063.hg.1	3.94141185780842
TC01000064.hg.1	6.45737507811192
TC01000065.hg.1	4.72675172510549
TC01000066.hg.1	5.88231222078026
TC01000067.hg.1	6.03496632641132
TC01000068.hg.1	2.6226929678526
TC01000069.hg.1	6.06500706958887
TC01000070.hg.1	8.19252714714123
TC01000071.hg.1	6.23325711312211
TC01000072.hg.1	5.6030800946884
TC01000073.hg.1	6.71750311363496
TC01000074.hg.1	6.3618128393574
TC01000075.hg.1	4.74152535583212
TC01000076.hg.1	4.29846316058332
TC01000077.hg.1	3.84796831814696
TC01000078.hg.1	5.37981972212091
TC01000079.hg.1	3.66801602186418
TC01000080.hg.1	5.59397869126653
TC01000081.hg.1	3.98993676310375
TC01000082.hg.1	6.941302770399
TC01000083.hg.1	8.74223172826025
TC01000084.hg.1	6.56406185981322
TC01000085.hg.1	6.72926895746326
TC01000086.hg.1	5.37547910913049
TC01000087.hg.1	6.06766818410906
TC01000088.hg.1	6.72307032918802
TC01000089.hg.1	5.06649414099734
TC01000090.hg.1	5.11124291599383
TC01000091.hg.1	6.21941747783081
TC01000092.hg.1	5.84418271961604
TC01000093.hg.1	6.1219359991502
TC01000094.hg.1	3.99641335221529
TC01000095.hg.1	1.90478428862765
TC01000096.hg.1	5.39870590648463
TC01000097.hg.1	5.38177890682902
TC01000098.hg.1	5.77582789347111
TC01000099.hg.1	7.72150303737195
TC01000100.hg.1	6.83797831820474
TC01000101.hg.1	7.3602662717536
TC01000102.hg.1	5.2813034234306
TC01000103.hg.1	5.04283177046907
TC01000104.hg.1	5.69186001418204
TC01000105.hg.1	4.6161639108524
TC01000106.hg.1	4.61165274139714
TC01000107.hg.1	2.9212943222646
TC01000108.hg.1	5.07959728733381
TC01000109.hg.1	7.31469244820351
TC01000110.hg.1	4.42253237114147
TC01000111.hg.1	4.43834562003605
TC01000112.hg.1	7.01989927448921
TC01000113.hg.1	9.24285883885281
TC01000114.hg.1	2.25660790984887
TC01000115.hg.1	7.13539626518559
TC01000116.hg.1	6.86946523278916
TC01000117.hg.1	5.87906737483986
TC01000118.hg.1	6.1374094345412
TC01000119.hg.1	5.80004163044902
TC01000120.hg.1	4.63195598884958
TC01000121.hg.1	5.0150470682757
